operator_name,parent_company
Brookfield Renewable Trading and Marketing LP,Brookfield Renewable Trading and Marketing LP
San Gorgonio Farms Inc,San Gorgonio Farms Inc
Terra-Gen Operating Co-Wind,Terra-Gen Operating Co-Wind
Allete Clean Energy,Allete Clean Energy
Pattern Operators LP,Pattern Operators LP
AE Power Services LLC,AE Power Services LLC
Eurus Combine Hills I LLC,Eurus Combine Hills I LLC
Shell Wind Energy Inc.,Shell Wind Energy Inc.
GlidePath Power Operations LLC,GlidePath Power Operations LLC
Kotzebue Electric Assn Inc,Kotzebue Electric Assn Inc
AES Wind Generation Inc,AES
Avangrid Renewables LLC,Avangrid Renewables LLC
Sherbino II Wind Farm LLC,Sherbino II Wind Farm LLC
Meadow Lake Wind Farm LLC,Meadow Lake Wind Farm LLC
Oak Creek Energy System Inc II,Oak Creek Energy System Inc II
Pleasant Hill Wind Energy LLC,Pleasant Hill Wind Energy LLC
Green Mountain Power Corp,Green Mountain Power Corp
"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc"
Madison Gas & Electric Co,Madison
FPL Energy Green Power,FPL Energy
"FPLE High Winds, LLC","FPLE High Winds, LLC"
GL Wind LLC,GL Wind LLC
"Marshall Wind Farm, LLC","Marshall Wind Farm, LLC"
NRG Energy Gas & Wind Holdings Inc,NRG
"Grant County Wind, LLC","Grant County Wind, LLC"
RWE Renewables Americas LLC,RWE Renewables Americas LLC
"EDF Renewable Asset Holdings, Inc.",EDF Renewable
"Whitetail Wind Energy, LLC","Whitetail Wind Energy, LLC"
Town of Princeton - (MA),Town of Princeton - (MA)
Harbec Energy,Harbec Energy
EDF Renewable Services Inc,EDF Renewable
Orion Energy Group LLC,Orion Energy Group LLC
Steele Flats Wind Project LLC,Steele Flats Wind Project LLC
Cirrus Wind 1 LLC,Cirrus Wind 1 LLC
Algonquin Power Co,Algonquin Power Co
Performance Services,Performance Services
NextEra Energy Operating Services LLC,NextEra
Northern States Power Co - Minnesota,Northern States Power Co - Minnesota
"Flat Rock Windpower, LLC","Flat Rock Windpower, LLC"
"Leeward Asset Management, LLC","Leeward Asset Management, LLC"
ESI Vansycle Partners LP,ESI Vansycle Partners LP
City of Moorhead - (MN),City of Moorhead - (MN)
Longroad Energy Services LLC,Longroad Energy Services LLC
CHI Energy Inc,CHI
CHI Operations Inc,CHI
Black Hills Electric Generation LLC,Black Hills
Gray County Wind Energy LLC,Gray County Wind Energy LLC
Kas Brothers Windfarm LLC,Kas Brothers Windfarm LLC
RENEW Energy Inc,RENEW Energy Inc
Garwin McNeilus,Garwin McNeilus
